ls	-F
ls	-F
ls	-F
rm	
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
rm	
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
rm	
ls	-F
rm	
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
grep	-r
grep	-n
rm	
ls	-F
grep	-r
ls	-F
grep	-r
ls	
ls	-F
ls	
ls	
rm	
rm	
ls	
ls	-F
ls	
ls	-F
ls	-F
rm	
ls	
ls	
rm	
ls	
ls	-a
ls	
ls	
ls	
rm	
ls	
ls	
rm	
ls	
rm	
ls	
chmod	
ls	
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
ls	-F
